ticket_id,timestamp,category,issue_type,zone,priority,status,description
CIV-1144,2026-05-24 02:47:00,Environment,Water Quality Concern,Zone B (East/Industrial),High,Resolved,Tap water appears cloudy and has an unusual chlorine odor. Located near 90 Elm St.
CIV-1041,2026-05-24 05:47:00,Public Services,Overfilled Public Bin,Zone C (South/Commercial),Low,Resolved,"Public trash can is overflowing, causing litter to blow into the park. Located near 91 Maple Ln."
CIV-1050,2026-05-24 09:18:00,Environment,Air Quality Alert,Zone B (East/Industrial),Medium,Resolved,Strong chemical odor detected in the air near the industrial park. Located near 236 River Rd.
CIV-1102,2026-05-24 09:46:00,Public Services,Overfilled Public Bin,Zone C (South/Commercial),Medium,Resolved,"Public trash can is overflowing, causing litter to blow into the park. Located near 285 River Rd."
CIV-1071,2026-05-24 13:52:00,Safety,Sidewalk Obstruction,Zone D (West/Downtown),High,Resolved,"Construction materials are blocking the sidewalk, forcing pedestrians into the street. Located near 372 River Rd."
CIV-1106,2026-05-24 23:09:00,Public Services,Overfilled Public Bin,Zone D (West/Downtown),Medium,Resolved,"Public trash can is overflowing, causing litter to blow into the park. Located near 250 Oak Ave."
CIV-1066,2026-05-25 00:15:00,Safety,Broken Traffic Signal,Zone B (East/Industrial),High,Resolved,The traffic signal at the main intersection is flashing red/not working. Located near 74 Broadway.
CIV-1124,2026-05-25 01:19:00,Safety,Broken Traffic Signal,Zone D (West/Downtown),High,Resolved,The traffic signal at the main intersection is flashing red/not working. Located near 208 Pine Rd.
CIV-1158,2026-05-25 01:23:00,Safety,Street Light Out,Zone C (South/Commercial),Medium,In Progress,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 246 Industrial Blvd."
CIV-1084,2026-05-25 04:09:00,Safety,Broken Traffic Signal,Zone C (South/Commercial),High,Resolved,The traffic signal at the main intersection is flashing red/not working. Located near 295 Oak Ave.
CIV-1060,2026-05-25 06:53:00,Safety,Street Light Out,Zone D (West/Downtown),High,Resolved,"Street light is broken, making the sidewalk extremely dark and unsafe at night. Located near 254 Industrial Blvd."
CIV-1088,2026-05-25 07:18:00,Public Services,Missed Trash Collection,Zone C (South/Commercial),Medium,Resolved,Scheduled trash pickup did not occur for the entire block. Located near 145 Broadway.
